company_id,company_name,industry,size_range,hq_location
1,IBM,IT Services and IT Consulting,1000+,"Armonk, New York, NY, US"
2,GE HealthCare,Hospitals and Health Care,1000+,"Chicago, 0, US"
3,Hewlett Packard Enterprise,IT Services and IT Consulting,1000+,"Houston, Texas, US"
4,Oracle,IT Services and IT Consulting,1000+,"Austin, Texas, US"
5,Accenture,Business Consulting and Services,1000+,"Dublin 2, 0, IE"
6,Microsoft,Software Development,1000+,"Redmond, Washington, US"
7,Deloitte,Business Consulting and Services,1000+,"Worldwide, 0, OO"
8,Siemens,Automation Machinery Manufacturing,1000+,"Munich, 0, DE"
9,PwC,IT Services and IT Consulting,1000+,"0, 0, GB"
10,AT&T,Telecommunications,1000+,"Dallas, TX, US"
11,Intel Corporation,Semiconductor Manufacturing,1000+,"Santa Clara, California, US"
12,Cisco,Software Development,1000+,"San Jose, CA, US"
13,Motorola Mobility (a Lenovo Company),Computers and Electronics Manufacturing,501-1000,"Chicago, Illinois, US"
14,JPMorgan Chase & Co.,Financial Services,1000+,"New York, NY, US"
15,EY,IT Services and IT Consulting,1000+,"London, 0, GB"
16,KPMG US,Financial Services,1000+,"New York, NY, US"
17,NXP Semiconductors,Semiconductor Manufacturing,1000+,"Eindhoven, Noord-Brabant, NL"
18,Verizon,IT Services and IT Consulting,1000+,"Basking Ridge, NJ, US"
19,SAP,Software Development,1000+,"Walldorf, BW, DE"
20,Procter & Gamble,Manufacturing,1000+,"Cincinnati, Ohio, US"
21,Bank of America,Banking,1000+,"Charlotte, NC, US"
22,Elite Technology,Software Development,201-500,"New York, NY, US"
23,BT Group,Telecommunications,1000+,"London, 0, GB"
24,Pfizer,Pharmaceutical Manufacturing,1000+,"New York, New York, US"
25,Johnson & Johnson,Hospitals and Health Care,1000+,"New Brunswick, NJ, US"
26,UBS,Financial Services,1000+,"Zurich, 0, CH"
27,US Army Corps of Engineers,Armed Forces,1000+,"Washington, DC, US"
28,Wells Fargo,Financial Services,1000+,"San Francisco, California, US"
29,Unilever,Manufacturing,1000+,"Blackfriars, London, GB"
30,Sony,Entertainment Providers,1000+,"Tokyo, 0, JP"
31,Sony Electronics,Computers and Electronics Manufacturing,1000+,"San Diego - US | Tokyo - JP, 0, US"
32,Sony Pictures Entertainment,Entertainment Providers,501-1000,"Culver City, CA, US"
33,Atos,IT Services and IT Consulting,1000+,"95877 Bezons, 0, FR"
34,Deutsche Bank,Financial Services,1000+,"Frankfurt am Main, Hessen, DE"
35,DWS Group,Financial Services,501-1000,"Frankfurt am Main, Hessen, DE"
36,Chubb,Insurance,1000+,"0, 0, CH"
37,Shell,Oil and Gas,1000+,"London, England, GB"
38,American Express,Financial Services,1000+,"New York, NY, US"
39,Unisys,IT Services and IT Consulting,1000+,"Blue Bell, Pennsylvania, US"
40,Infosys,IT Services and IT Consulting,1000+,"Bangalore, Karnataka, IN"
41,Yahoo,Software Development,1000+,"Sunnyvale, CA, US"
42,The Walt Disney Company,Entertainment Providers,1000+,"Burbank, CA, US"
43,Fidelity Investments,Financial Services,1000+,"Boston, MA, US"
44,Wipro,IT Services and IT Consulting,1000+,"Bangalore, Karnataka, IN"
45,LinkedIn,Software Development,1000+,"Sunnyvale, CA, US"
46,Air Force Research Laboratory,Armed Forces,501-1000,"Wright-Patterson AFB, OH, US"
