education_id,user_id,institution,degree,field_of_study,graduation_year
1,1,University of California,Associate's Degree,Life Sciences,2018
2,2,University of California,High School Diploma,Life Sciences,2018
3,3,State University,Associate's Degree,Other,2019
4,4,University of California,Master's Degree,Life Sciences,2018
5,5,Johns Hopkins University,High School Diploma,Medical,2017
6,6,University of California,Associate's Degree,Life Sciences,2018
7,7,Johns Hopkins University,Bachelor's Degree,Medical,2017
8,8,University of California,High School Diploma,Life Sciences,2018
9,9,University of California,Bachelor's Degree,Life Sciences,2018
10,10,Johns Hopkins University,Bachelor's Degree,Medical,2017
11,11,Johns Hopkins University,Bachelor's Degree,Medical,2017
12,12,University of California,Associate's Degree,Life Sciences,2018
13,13,University of California,High School Diploma,Life Sciences,2018
14,14,Johns Hopkins University,Associate's Degree,Medical,2017
15,15,University of California,Bachelor's Degree,Life Sciences,2018
16,16,University of California,Master's Degree,Life Sciences,2018
17,17,University of California,Associate's Degree,Life Sciences,2018
18,18,Johns Hopkins University,Associate's Degree,Medical,2017
19,19,University of California,Master's Degree,Life Sciences,2018
20,20,University of California,Bachelor's Degree,Life Sciences,2018
21,21,State University,Associate's Degree,Other,2019
22,22,University of California,Master's Degree,Life Sciences,2018
23,23,University of California,Master's Degree,Life Sciences,2018
24,24,University of California,Associate's Degree,Life Sciences,2018
25,25,Johns Hopkins University,High School Diploma,Medical,2017
26,26,State University,Bachelor's Degree,Other,2019
27,27,University of California,High School Diploma,Life Sciences,2018
28,28,New York University,Master's Degree,Marketing,2019
29,29,Johns Hopkins University,Master's Degree,Medical,2017
30,30,New York University,Master's Degree,Marketing,2019
31,31,Johns Hopkins University,Bachelor's Degree,Medical,2017
32,32,State University,Master's Degree,Other,2019
33,33,Johns Hopkins University,Associate's Degree,Medical,2017
34,34,MIT,Bachelor's Degree,Technical Degree,2016
35,35,Johns Hopkins University,Bachelor's Degree,Medical,2017
36,36,Johns Hopkins University,Associate's Degree,Medical,2017
37,37,New York University,Associate's Degree,Marketing,2019
38,38,New York University,Bachelor's Degree,Marketing,2019
39,39,University of California,Master's Degree,Life Sciences,2018
40,40,University of California,Bachelor's Degree,Life Sciences,2018
41,41,State University,Associate's Degree,Other,2019
42,42,University of California,Master's Degree,Life Sciences,2018
43,43,University of California,Bachelor's Degree,Life Sciences,2018
44,44,University of California,Bachelor's Degree,Life Sciences,2018
45,45,Johns Hopkins University,Associate's Degree,Medical,2017
46,46,MIT,Bachelor's Degree,Technical Degree,2016
47,47,New York University,Master's Degree,Marketing,2019
48,48,University of California,Associate's Degree,Life Sciences,2018
49,49,New York University,Master's Degree,Marketing,2019
50,50,University of California,High School Diploma,Life Sciences,2018
51,51,University of California,Associate's Degree,Life Sciences,2018
52,52,MIT,Master's Degree,Technical Degree,2016
53,53,New York University,Doctoral Degree,Marketing,2019
54,54,Johns Hopkins University,Associate's Degree,Medical,2017
55,55,New York University,Bachelor's Degree,Marketing,2019
56,56,University of California,Associate's Degree,Life Sciences,2018
57,57,University of California,Doctoral Degree,Life Sciences,2018
