job_id,company_id,title,location,salary_min,salary_max,employment_type,description,posted_date,is_active
1,1708,"Assistant Director of Admission, Midwest Regional Representative","Minneapolis, MN",,,Full-time,"Position OverviewButler University's Office of Admission seeks a dynamic, experienced enrollment professional to join our team as a Midwest Regional Representative. The candidate must be detail-oriented, self-motivated, have excellent communication skills and the ability to articulate the values of Butler University.
The Assistant Director of Admission, Midwest Regional will represent the university to prospective students and assists students and families in the enrollment process. This positio",2024-04-11,true
2,1582,Seasonal Office Administrator,"Dayton, OR",,,Contract,"Seasonal Office Admin

Responsibilities

Will be checking in trucks as they bring cherry loads from various farmersWill document details about loadWill also create labels and tags for produce

Requirements

Clerical skills.Not be afraid of working in a manufacturing environment.Will be during harvest season: Long hours during 4-5 week harvest.

Pay: $18 - $20

Shift/Hours: 6am-2:30pm M-F, once in full harvest, 4 weeks will be 7 days/week 10 hour days

Duration: Seasonal (About 4 months)

Locatio",2024-04-06,true
3,549,Operations Specialist,"Castle Rock, WA",72742.0,109113.0,Full-time,"Weyerhaeuser is searching for a Operations Specialist to join our St. Helens operations team in Castle Rock, Washington. As the Operations Specialist you will be responsible for assisting with the planning and management of activities associated with the execution of the Transportation Logistics Initiative (TLI) as well as assisting the St. Helens harvesting team in the management of company and contract logging, with an emphasis on logging contract administration. Additionally, you will collabo",2024-04-16,true
4,2814,Senior Developer,Greater Philadelphia,,,Full-time,"This individual will work with a high performance team in the creation and maintenance of applications for our mobile, web and in-house systems. This individual will take on a work leadership role and has the interpersonal and technical skills required to guide a team. They displays poise and maturity in task completion and personal interactions and acknowledges their own responsibility and accountability. They utilize a deep understanding of Object Oriented principles in designing and developin",2024-04-19,true
5,672,Commercial Litigation Associate Attorney,"Jacksonville, FL",,,Full-time,"LHH, Legal is assisting a full-service firm in their search for a Commercial Litigation Associate Attorney to join their team in Jacksonville. Below please find an overview of the position:
• Full-service law firm with multiple Chambers rated partners is looking to hire a Litigation Associate in Jacksonville• The work will focus on complex commercial litigation (business disputes, healthcare, real estate litigation and more)• Working collaboratively with a supportive Partner• All Associates are ",2024-04-19,true
6,364,Enterprise Data & Analytics Infrastructure Manager,"Cleveland, OH",,,Full-time,"The Enterprise Data Infrastructure and Analytics manager will lead a team of talented and highly motivated engineers to strengthen our infrastructure support of KeyBank’s data and analytics program. This individual will work to drive out stability, build a talent pipeline, ensure the stability and security of our Enterprise Data and Analytics platforms and help drive modernization of our overall infrastructure program.
Reach out for more details",2024-04-18,true
7,2821,Inbound Call Center Specialist,"Richmond, VA",18.0,19.0,Contract,"Always Connecting, Always Evolving.
If you are looking for a new opportunity and this position looks to be a fit, please apply to see the TECHEAD difference that has made us successful for 30+ years!
You can find more about our team and values by checking us out at TECHEAD.com or on Glassdoor
Inbound Call Center Specialist 
~ Contract: 12 month contract, high potential for extension or conversion~ Richmond, VA~ Hybrid schedule: 1 week on-site, 1 week remote~ Hours: 8:00 am - 5:00 pm or 8:30 am -",2024-04-19,true
8,2801,CT Technologist,"Chattanooga, TN",,,Full-time,"Job Summary:Under the supervision of the Department Manager, Outpatient Imaging Director and/or Radiologist, performs a variety of procedures, including CT scans and invasive procedures and post processing. The employee will also perform other department job duties as assigned.
Education:Required:A graduate of an ARRT approved radiologic technology program. Reference: https://www.arrt.org/Education/ (compliant with all continuing education mandates).Appropriate military radiology program complet",2024-04-18,true
9,1678,Quality Engineer,"New Albany, IN",28.0,43.0,Full-time,"Staff Management | SMX is currently in search of a Quality Engineer for our client located in New Albany, IN. This is a direct hire position with benefits. Send over your resume to Melanie Earle at mearle@staffmanagement.com so that we can get you started!
Perks & BenefitsWeekly paychecksDirect Deposit or Cash Card pay optionsMedical / Dental Insurance
Employment Type & ShiftsFull TimeDirect Hire1st Shift
Job ResponsibilitiesMonitors and improves the quality standards for production facility and",2024-04-19,true
10,195,Real Estate Agent,United States,,,Full-time,"Compensation: Generous Commission with Part-time or Full-time.
Keller Williams Realty is looking to hire a select group of motivated agents. If you are looking to build a career in real estate or take your existing business to the next level, there is no better place than the #1 Real Estate Brokerage in the world.
Launch Your Real Estate Career with Keller Williams Realty!
Are you a newly licensed real estate agent eager to kick-start your career? Are you seeking a nurturing environment that wil",2024-04-19,true
11,2366,THEATRE Instructor for Speech Communication & Theatre Department,"Greenville, SC",,,Full-time,"POSTING DATE:  4/2/2024 POSITION: 019905 Instructor: Theatre DEPARTMENT: SPC-Speech  APPLICATION CLOSING DATE:  4/16/2024 Classification Code UG70 / Slot 0000
For ALL Faculty Positions - An unofficial/student copy of your transcript must be submitted along with your on-line application if the position you are applying for requires a degree and/or certificate. Official transcripts are required when you begin employment.
***International transcripts must be evaluated through World Education Servic",2024-04-11,true
