job_skill_id,job_id,skill_id,requirement_level
1,3316,11,Required
2,3316,33,Required
3,3316,27,Nice-to-have
4,3329,8,Nice-to-have
5,3320,34,Preferred
6,3310,21,Nice-to-have
7,3310,26,Nice-to-have
8,131,25,Required
9,49,35,Required
10,49,33,Nice-to-have
11,1244,31,Preferred
12,55,22,Nice-to-have
13,55,25,Preferred
14,3317,22,Preferred
15,3317,25,Required
16,64,35,Nice-to-have
17,106,35,Preferred
18,106,33,Required
19,81,8,Required
20,81,25,Nice-to-have
21,110,28,Required
22,110,30,Preferred
23,110,2,Nice-to-have
24,188,26,Required
25,188,8,Nice-to-have
26,91,14,Preferred
27,91,12,Nice-to-have
28,128,14,Nice-to-have
29,128,12,Nice-to-have
30,128,25,Nice-to-have
31,58,35,Required
32,58,33,Nice-to-have
33,50,35,Required
34,50,33,Nice-to-have
35,59,22,Preferred
36,59,25,Required
37,61,19,Nice-to-have
38,61,25,Nice-to-have
39,61,24,Preferred
40,127,22,Required
41,127,25,Required
42,3311,9,Preferred
43,103,10,Required
44,103,11,Required
45,83,22,Preferred
46,83,25,Required
47,134,21,Required
48,134,19,Nice-to-have
49,38,20,Required
50,48,20,Nice-to-have
51,107,23,Nice-to-have
52,82,22,Nice-to-have
53,82,25,Preferred
54,87,35,Preferred
55,87,33,Nice-to-have
56,85,20,Nice-to-have
57,3314,35,Preferred
58,3314,11,Preferred
59,3314,10,Nice-to-have
60,164,33,Nice-to-have
61,89,35,Required
62,45,22,Nice-to-have
63,45,25,Required
64,51,35,Required
65,51,33,Required
66,65,31,Nice-to-have
67,129,25,Nice-to-have
68,62,22,Nice-to-have
69,189,22,Preferred
70,189,33,Preferred
71,44,35,Required
72,44,33,Required
73,1221,31,Nice-to-have
74,1221,19,Required
75,1221,20,Preferred
76,1220,13,Nice-to-have
77,56,20,Nice-to-have
78,1222,16,Required
79,130,9,Required
80,130,25,Nice-to-have
81,130,34,Nice-to-have
82,41,10,Preferred
83,41,11,Required
84,3315,25,Preferred
85,3315,2,Nice-to-have
86,1276,35,Nice-to-have
87,1276,33,Required
88,39,22,Preferred
89,39,25,Preferred
90,46,31,Nice-to-have
91,46,19,Nice-to-have
92,3327,11,Preferred
93,163,32,Required
94,163,8,Preferred
95,163,12,Required
96,147,9,Nice-to-have
97,147,25,Preferred
98,147,34,Preferred
99,149,8,Required
100,1305,2,Preferred
101,1305,22,Nice-to-have
102,3331,22,Required
103,3331,25,Required
104,3331,9,Required
105,3312,34,Required
106,3312,24,Nice-to-have
107,136,25,Nice-to-have
108,136,17,Required
109,151,2,Required
110,3328,25,Required
111,1304,13,Required
112,148,20,Preferred
113,3313,13,Nice-to-have
114,227,28,Nice-to-have
115,227,29,Preferred
116,227,30,Preferred
117,102,22,Required
118,102,25,Preferred
119,3325,34,Required
120,3325,24,Preferred
121,153,31,Required
122,153,19,Preferred
123,60,35,Preferred
124,60,33,Required
