trend_id,skill_id,recorded_month,demand_score,avg_salary,trend_direction
1,12,2020-01-01,30,68014.67,Stable
2,12,2021-01-01,68,81496.68,Rising
3,12,2022-01-01,100,109460.05,Rising
4,12,2023-01-01,100,120850.72,Stable
5,12,2024-01-01,100,112122.3,Stable
6,22,2020-01-01,10,119916.8,Stable
7,22,2021-01-01,52,91534.46,Rising
8,22,2022-01-01,100,146366.88,Rising
9,22,2023-01-01,100,185479.36,Stable
10,22,2024-01-01,48,185224.75,Declining
11,25,2020-01-01,38,88578.37,Stable
12,25,2021-01-01,100,104120.38,Rising
13,25,2022-01-01,100,140932.57,Stable
14,25,2023-01-01,100,149587.9,Stable
15,25,2024-01-01,90,155494.11,Declining
16,35,2022-01-01,10,96175.2,Stable
17,35,2023-01-01,100,112084.72,Rising
18,4,2023-01-01,22,160318.18,Stable
19,4,2024-01-01,4,213150.0,Declining
20,14,2020-01-01,4,246000.0,Stable
21,14,2021-01-01,20,83003.6,Rising
22,14,2022-01-01,30,142188.73,Rising
23,14,2023-01-01,100,186134.46,Rising
24,14,2024-01-01,8,95125.0,Declining
25,15,2020-01-01,50,96905.68,Stable
26,15,2021-01-01,96,95851.88,Rising
27,15,2022-01-01,100,130809.51,Stable
28,15,2023-01-01,100,161143.69,Stable
29,15,2024-01-01,90,136547.84,Declining
