user_skill_id,user_id,skill_id,proficiency_level,acquired_date
1,1,34,Advanced,2016-01-01
2,1,28,Advanced,2016-01-01
3,1,24,Advanced,2016-01-01
4,1,17,Advanced,2016-01-01
5,2,14,Advanced,2014-01-01
6,2,15,Advanced,2014-01-01
7,2,12,Advanced,2014-01-01
8,2,23,Advanced,2014-01-01
9,3,15,Advanced,2017-01-01
10,3,23,Advanced,2017-01-01
11,3,14,Advanced,2017-01-01
12,4,14,Advanced,2016-01-01
13,4,15,Advanced,2016-01-01
14,4,12,Advanced,2016-01-01
15,4,23,Advanced,2016-01-01
16,5,15,Intermediate,2018-01-01
17,5,23,Intermediate,2018-01-01
18,5,14,Intermediate,2018-01-01
19,6,15,Advanced,2016-01-01
20,6,23,Advanced,2016-01-01
21,6,14,Advanced,2016-01-01
22,7,15,Advanced,2012-01-01
23,7,23,Advanced,2012-01-01
24,7,14,Advanced,2012-01-01
25,8,15,Beginner,2023-01-01
26,8,23,Beginner,2023-01-01
27,8,14,Beginner,2023-01-01
28,9,33,Advanced,2014-01-01
29,9,35,Advanced,2014-01-01
30,9,8,Advanced,2014-01-01
31,9,27,Advanced,2014-01-01
32,10,13,Expert,2007-01-01
33,10,17,Expert,2007-01-01
34,10,34,Expert,2007-01-01
35,11,15,Intermediate,2018-01-01
36,11,23,Intermediate,2018-01-01
37,11,14,Intermediate,2018-01-01
38,12,15,Advanced,2014-01-01
39,12,23,Advanced,2014-01-01
40,12,14,Advanced,2014-01-01
41,13,14,Intermediate,2019-01-01
42,13,15,Intermediate,2019-01-01
43,13,12,Intermediate,2019-01-01
44,13,23,Intermediate,2019-01-01
45,14,15,Intermediate,2021-01-01
46,14,23,Intermediate,2021-01-01
47,14,14,Intermediate,2021-01-01
48,15,15,Intermediate,2018-01-01
49,15,23,Intermediate,2018-01-01
50,15,14,Intermediate,2018-01-01
51,16,33,Advanced,2014-01-01
52,16,35,Advanced,2014-01-01
53,16,8,Advanced,2014-01-01
54,16,27,Advanced,2014-01-01
55,17,14,Advanced,2017-01-01
56,17,15,Advanced,2017-01-01
57,17,12,Advanced,2017-01-01
58,17,23,Advanced,2017-01-01
59,18,15,Beginner,2023-01-01
60,18,23,Beginner,2023-01-01
61,18,14,Beginner,2023-01-01
62,19,35,Expert,1993-01-01
63,19,18,Expert,1993-01-01
64,19,8,Expert,1993-01-01
65,19,32,Expert,1993-01-01
66,20,14,Intermediate,2018-01-01
67,20,15,Intermediate,2018-01-01
68,20,12,Intermediate,2018-01-01
69,20,23,Intermediate,2018-01-01
70,21,33,Intermediate,2019-01-01
71,21,35,Intermediate,2019-01-01
72,21,8,Intermediate,2019-01-01
73,21,27,Intermediate,2019-01-01
74,22,34,Advanced,2014-01-01
75,22,17,Advanced,2014-01-01
76,22,24,Advanced,2014-01-01
77,23,16,Expert,2011-01-01
78,23,17,Expert,2011-01-01
